id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
6281,136715,136714,,0,2010-11-01
6283,66156,136744,cash,0,2011-04-29
6284,8736,88488,cash_and_stock,90000000,2011-10-10
6285,59,136711,,0,2011-10-10
6286,55913,8718,cash_and_stock,52000000,2011-10-10
6287,32418,33792,cash,172000000,2011-10-11
6288,220338,137151,,0,2011-10-11
6289,176,53719,,0,2011-10-11
6290,3407,137308,cash,0,2011-10-11
6291,14904,12539,cash,650000000,2011-10-11
6293,3246,29301,,0,2011-10-11
6294,73003,20045,,0,2011-10-11
6295,5187,137346,,0,2011-10-11
6296,50482,137408,,0,2011-10-12
6297,137472,137471,,0,2011-09-21
6298,1242,137578,,0,2011-10-12
6299,17218,30044,,0,2011-10-13
6300,70791,20313,stock,0,2010-10-01
6301,44504,38339,,0,2011-10-14
6302,138078,138079,,0,2011-10-14
6303,26059,138081,,0,2011-10-14
6304,80208,64066,cash,0,2011-09-24
6306,18081,33869,cash,0,2011-10-17
6309,2680,1894,,0,2011-10-18
6310,70808,138638,,0,2011-10-17
6311,138894,12398,,0,2011-10-17
6312,46298,138911,,0,2011-10-18
6313,3132,138932,,0,2011-10-18
6314,138937,138936,,0,2011-10-17
6315,14008,139031,cash_and_stock,206000000,2004-01-01
6316,45772,45773,cash_and_stock,0,2008-04-01
6317,22599,139110,,0,2011-10-19
6318,66548,139114,,0,2011-10-19
6319,38498,139117,,0,2011-10-19
