id,object_id,degree_type,subject
3509,p:17845,MS,Economics and Languages
3510,p:17846,MS,Economics
3511,p:36140,BA,History
3512,p:36140,MBA,MBA
3513,p:36171,Management,
3514,p:36174,BA,Public Policy
3515,p:36174,MBA,
3516,p:36175,MBA,
3517,p:36175,"BS, Engineering",
3518,p:36191,MBA,
3519,p:36192,BS,
3520,p:36193,MBA,
3521,p:36194,PhD,Physical Chemistry
3522,p:36195,PhD,Organic chemistry
3523,p:36202,MS,
3524,p:36204,MBA,
3525,p:36205,MBA,
3526,p:36206,PhD,Materials Science
3527,p:36213,MS,
3528,p:36214,Ph.D. and D.Sc.,
3529,p:36215,PhD,
3530,p:36221,MS,Computer Science
3531,p:36221,BS,Computer Science
3532,p:24149,BS,Business in Services
3533,p:231670,PhD,Immunology
3534,p:36248,M.E.,Aeronautics and Astronautics
3535,p:36253,MS,Computer Science
3536,p:36256,BS,Law
3537,p:36254,MBA,
3538,p:36255,PhD,
3539,p:36260,MBA and Ph.D.,
3540,p:36261,M.A. and PhD,Economics
3541,p:36263,MBA,MBA
3542,p:36264,MBA,
3543,p:36265,BS,Mechanical Engineering
3544,p:36274,PhD,Polymer Science and Engineering
3545,p:36275,BA,Chemistry
3546,p:36305,BS,Economics
3547,p:36305,Bachelor (Erasmus exchange),International Business and Management
3548,p:36156,BS,Business Administration - Accounting
3549,p:16653,MBA,Project Management
3550,p:16653,BA,Journalism
3551,p:35139,BS,
3552,p:36332,MS,Management
3553,p:36332,CEMS Masters,"Economy, Marketing, Finance"
3554,p:36334,PhD,Mineral Physics
3555,p:36334,MSci,Geological Sciences (Mineral Physics)
3556,p:36344,BS,Business Administration
3557,p:36345,BS,Computer Science
3558,p:36349,BS,Finance
3559,p:36350,MS,Accounting
3560,p:21859,MS,Computer Science
3561,p:29885,MS,Applied Mathematics
3562,p:36369,PhD,Computer Science
3563,p:36372,MS,Distributed Systems and Networks
3564,p:36380,Master degree,Economics and business administration
3565,p:36381,Masterâs degree,Economics and accounting
3566,p:36382,Degrees,business administration and engineering
3567,p:36383,MBA,
3568,p:36384,PhD,Computer science
3569,p:36385,BA,Economics
3570,p:36386,MBA,
3571,p:36388,MBA,
3572,p:36402,BA,Economics and Government
3573,p:36403,MS,International Affairs and International Finance
3574,p:36404,BA,Economics
3575,p:36406,BA,Communication
3576,p:2148,BS,Industrial Engineering
3577,p:2148,MS,Marketing and Finance
3578,p:36456,Associate,Tourism and Hotel Services
3579,p:36335,MChem,Chemistry
3580,p:36335,PhD,Theoretical Chemistry
3581,p:36476,MBA,
3582,p:36485,MBA,Finance
3583,p:36486,MS,Systems Management
3584,p:36487,MBA and BA,
3585,p:36492,BS,Mechanical Engineering
3586,p:36501,MBA,
3587,p:36506,MBA,
3588,p:36524,JD,
3589,p:36527,BA,
3590,p:36526,MBA,
3591,p:36531,MBA,Finance and Marketing
3592,p:36532,MBA,Business Administration
3593,p:393,MBA,
3594,p:36542,BE - Bachelor of Engineering,Eletrical Engineering with computer Science Emphasis
3595,p:36444,BCOM,Entrepreneurial Management
3596,p:36444,,Business Administration
3597,p:2488,BA,Computer Science
3598,p:17240,Engineering,Electronics and Communication
3599,p:36612,BA,Economics
3600,p:36613,MBA,
3601,p:36614,MBA,Finance
3602,p:36618,MBA,
3603,p:36619,BS,Electrical Engineering and Biomedical Engineering
3604,p:36626,MBA,
3605,p:36627,MBA,
3606,p:36635,MBA,
3607,p:36636,PhD,Physics
3608,p:36637,BS,Management
3609,p:36641,PhD,
3610,p:36644,MBA,
3611,p:36645,BS,
3612,p:36674,MBA,
3613,p:36675,BS,
3614,p:36676,MBA,
3615,p:36677,MBA,
3616,p:36678,PhD,
3617,p:36679,MBA,
3618,p:36687,,Masters of Business Administration
3619,p:36697,BS,Engineering
3620,p:36698,MBA,
3621,p:36699,MBA,
3622,p:36700,AS,
3623,p:36701,MBA,
3624,p:36702,BS,Chemical Engineering
3625,p:36668,PhD,Telecommunications
3626,p:36668,,Engineering
3627,p:36600,CFP,Finance
3628,p:36600,CeMap,Finance & Property
3629,p:14645,BTECH,Computer Science
3630,p:8137,BA,Economics
3631,p:36754,BS,Mathematics
3632,p:36743,MBA,
3633,p:36743,BS - Business Admin.,
3634,p:36775,MBA,
3635,p:36778,MBA,
3636,p:36779,MBA,
3637,p:36780,MBA,
3638,p:36783,BA,Economics and Accounting
3639,p:36784,BA,Political Science
3640,p:36790,BBS,Economics and Political Science
3641,p:36791,MA,Economics and Finance
3642,p:36794,MBA,
3643,p:14233,BA,Computer Security and Forensics
3644,p:14233,HND,Electronic Engineering
3645,p:36803,MBA,
3646,p:36823,MS,
3647,p:36824,MS,Human Resources Management
3648,p:36825,BA,
3649,p:36826,MBA,
3650,p:36827,MS,Science Management
3651,p:36828,MBA,
3652,p:14789,BA,"International Relations, Conflict Resolution"
3653,p:14789,BA,Finance
3654,p:14789,MS,Political Communication
3655,p:36842,Physics doctorate,
3656,p:36843,MBA,
3657,p:36844,MD,
3658,p:36845,MS,
3659,p:36846,PhD,Organic chemistry
3660,p:27607,MBA,
3661,p:36924,BS,Sociology
3662,p:17106,BE,Industrial Engineering and Operations Research
3663,p:36928,Diploma,Marketing Management
3664,p:36929,Advanced Bachelor of Science deg,Physics
3665,p:36931,PhD,Biochemistry
3666,p:36932,PhD,
3667,p:36934,JD,
